user_id,rank,game_title,score
5250,1,Portal,1.9091652810229178
5250,2,Left 4 Dead 2,1.418892483731035
5250,3,Half-Life 2,1.3918362824811676
5250,4,Metro 2033,1.3563523374899706
5250,5,Magicka,1.3216576765129129
76767,1,Portal,5.051505713030612
76767,2,Left 4 Dead 2,4.32840238740746
76767,3,Call of Duty Modern Warfare 2,4.294108644971152
76767,4,Just Cause 2,4.268809334778527
76767,5,Half-Life 2,4.193866089005045
86540,1,Portal 2,3.8334470808654824
86540,2,BioShock Infinite,3.772741697064291
86540,3,Just Cause 2,3.699390566851405
86540,4,The Witcher 2 Assassins of Kings Enhanced Edition,3.51670854647182
86540,5,Saints Row The Third,3.511794122989438
144736,1,Counter-Strike Condition Zero,0.03422284476164347
144736,2,Counter-Strike Condition Zero Deleted Scenes,0.024272097560722634
144736,3,Day of Defeat,0.02091259615998728
144736,4,Counter-Strike Source,0.01708538668133243
144736,5,Half-Life,0.015461001608885408
181212,1,Counter-Strike Condition Zero,0.39480292716672466
181212,2,Counter-Strike Condition Zero Deleted Scenes,0.29630022274478074
181212,3,Half-Life 2 Deathmatch,0.2842156675018134
181212,4,Half-Life 2,0.25391950753981246
181212,5,Day of Defeat,0.24489537652708607
229911,1,Call of Duty Modern Warfare 2 - Multiplayer,3.0166821248534808
229911,2,Portal 2,3.0125414922327294
229911,3,Alien Swarm,2.6869810272703094
229911,4,Left 4 Dead,2.5567044084041535
229911,5,Left 4 Dead 2,2.5427091913307756
298950,1,Bastion,35.3935164930302
298950,2,Batman Arkham Asylum GOTY Edition,32.46580412277752
298950,3,Super Meat Boy,32.22983778353893
298950,4,Mirror's Edge,31.6045160946624
298950,5,Borderlands 2,31.15608935984785
381543,1,Counter-Strike Condition Zero,0.4977740763048579
381543,2,Counter-Strike Condition Zero Deleted Scenes,0.353039644349247
381543,3,Day of Defeat,0.3041754216861977
381543,4,Counter-Strike Source,0.24850834677377517
381543,5,Half-Life,0.22488153302897046
547685,1,Counter-Strike Condition Zero,1.2019070330556756
547685,2,Counter-Strike Condition Zero Deleted Scenes,0.878424445327842
547685,3,Day of Defeat,0.7588965808469755
547685,4,Day of Defeat Source,0.6498547470526659
547685,5,Half-Life,0.6396184786277709
554278,1,Portal 2,2.6048148739653536
554278,2,Portal,2.367106935179275
554278,3,Garry's Mod,2.243639992608809
554278,4,PAYDAY 2,2.0992473285237883
554278,5,Just Cause 2,2.0917767738560977
561758,1,Just Cause 2,18.115914679476116
561758,2,BioShock Infinite,17.51342928407646
561758,3,Dishonored,17.309396226338624
561758,4,Mirror's Edge,17.14556896806526
561758,5,Saints Row The Third,16.961663918994393
577614,1,Counter-Strike Condition Zero,1.2965654185645918
577614,2,Counter-Strike Condition Zero Deleted Scenes,0.9195717817278162
577614,3,Day of Defeat,0.7922938371223839
577614,4,Counter-Strike Source,0.6472963217437646
577614,5,Half-Life,0.585754929552784
